year,sex,age,citizenship,count
2022,f,36,COG,8
2022,f,23,ARM,36
2022,m,27,TUR,828
2022,m,85,RUS,16
2022,f,7,BLR,805
2022,m,47,UNKNOWN,99
2022,f,9,BLR,719
2022,m,20,GEO,744
2022,f,43,GEO,371
2022,m,22,IDN,273
2022,m,25,ROU,184
2022,f,27,BLR,2428
2022,f,14,JPN,14
2022,m,56,DEU,835
2022,m,43,USA,180
2022,f,29,MDA,439
2022,f,38,ROU,138
2022,f,43,TKM,8
2022,f,51,RUS,334
2022,f,54,USA,45
2022,m,31,LVA,67
2022,f,29,NOR,32
2022,m,57,KOR,111
2022,f,48,RUS,323
2022,f,21,CYP,1
2022,f,98,GRC,7
2022,m,43,GBR,234
2022,m,35,SAU,48
2022,f,64,USA,56
2022,m,62,SWE,60
2022,m,57,GBR,255
2022,m,6,KOR,44
2022,m,43,RUS,571
2022,f,27,IDN,106
2022,m,63,GBR,145
2022,m,23,TUR,907
2022,f,27,CAN,19
2022,m,58,CHN,134
2022,f,57,GEO,158
2022,m,13,CHN,53
2022,m,31,PHL,181
2022,m,64,RUS,112
2022,m,38,BLR,4663
2022,f,22,RUS,398
2022,m,54,AUT,83
2022,m,46,KAZ,80
2022,f,20,TUR,104
2022,m,47,CZE,131
2022,m,25,IDN,288
2022,m,26,ITA,264
2022,f,47,UNKNOWN,261
2022,m,44,PAK,93
2022,m,5,ROU,76
2022,m,31,MDA,1012
2022,m,18,BGR,65
2022,m,24,NAM,3
2022,m,48,BGR,169
2022,m,34,ESP,255
2022,f,60,MDA,76
2022,f,21,MDA,366
2022,m,34,NPL,266
2022,m,26,FRA,231
2022,f,107,RUS,2
2022,f,29,PHL,145
2022,m,48,DEU,601
2022,m,8,BGR,63
2022,m,22,UZB,430
2022,f,12,BLR,589
2022,f,35,CHN,311
2022,m,31,IDN,200
2022,m,42,BGD,131
2022,m,45,UNKNOWN,12
2022,m,48,BLR,2379
2022,f,13,EGY,7
2022,f,57,BRA,4
2022,f,36,HRV,12
2022,f,3,BLR,607
2022,f,49,CHN,148
2022,m,28,IND,1492
2022,m,31,CHN,271
2022,f,31,BLR,2099
2022,f,18,SWE,8
2022,f,39,PHL,273
2022,m,42,CZE,91
2022,m,64,SVK,21
2022,m,34,AUS,21
2022,m,27,IDN,270
2022,m,37,CAN,52
2022,f,22,USA,75
2022,m,38,VNM,401
2022,m,17,BGR,64
2022,m,2,IND,120
2022,m,52,RUS,412
2022,m,44,DEU,663
2022,m,34,ITA,323
2022,m,53,MAR,19
2022,m,37,UZB,386
2022,f,77,UKR,960
2022,f,19,TKM,2
2022,m,25,RUS,536
2022,m,21,TJK,47
2022,m,34,PRT,129
2022,m,42,MKD,11
2022,m,43,VNM,222
2022,m,20,BLR,1693
2022,f,44,CHN,166
2022,f,26,KAZ,142
2022,m,35,CUB,25
2022,m,18,MDA,138
2022,f,71,CAN,9
2022,m,36,IND,1206
2022,f,55,GEO,168
2022,m,57,GEO,530
2022,m,47,PHL,184
2022,f,50,DEU,220
2022,m,30,BGD,214
2022,f,25,MDA,449
2022,m,25,KAZ,183
2022,f,45,UNKNOWN,184
2022,m,44,CHL,12
2022,m,39,AZE,134
2022,m,4,MDA,35
2022,f,57,DEU,291
2022,f,40,RUS,523
2022,m,22,KGZ,77
2022,m,38,NPL,193
2022,m,23,CHN,131
2022,f,31,HRV,25
2022,m,61,FRA,114
2022,m,42,IND,675
2022,f,38,BLR,1696
2022,f,87,UKR,216
2022,m,23,MDA,1102
2022,m,41,BGD,118
2022,m,56,VNM,150
2022,m,61,ISR,11
2022,f,74,SYR,1
2022,m,24,MDA,1167
2022,f,30,GEO,329
2022,f,32,MDA,371
2022,m,21,NPL,64
2022,m,28,TUR,975
2022,m,17,BLR,718
2022,m,46,GBR,240
2022,f,29,IND,374
2022,m,66,USA,85
2022,m,3,ROU,79
2022,m,43,UGA,7
2022,m,18,EGY,15
2022,f,48,ITA,29
2022,m,33,IRN,59
2022,m,46,ARM,132
2022,m,45,KHM,2
2022,m,58,YEM,3
2022,m,30,GTM,14
2022,f,47,BGR,85
2022,f,26,NLD,42
2022,m,22,GEO,1169
2022,m,50,CHE,19
2022,f,2,CHN,49
2022,m,37,USA,204
2022,m,28,IRQ,41
2022,f,23,HRV,13
2022,f,57,IRN,5
2022,m,26,MDA,1159
2022,f,54,FRA,69
2022,f,38,GBR,63
2022,f,37,MDA,416
2022,f,46,PHL,106
2022,m,57,MDA,248
2022,m,37,MDA,1037
2022,f,33,RUS,689
2022,f,67,SWE,101
2022,m,2,BLR,583
2022,m,41,COG,9
2022,m,36,GBR,184
2022,f,34,CAN,30
2022,f,5,IND,125
2022,m,35,USA,189
2022,m,65,CHN,60
2022,m,40,IND,833
2022,f,54,UNKNOWN,252
2022,m,30,LBN,35
2022,f,52,MDA,260
2022,m,45,PAK,80
2022,f,25,ESP,221
2022,m,41,ITA,289
2022,m,23,ESP,212
2022,m,46,NZL,14
2022,m,6,BLR,897
2022,m,27,ITA,296
2022,m,44,CZE,128
2022,m,78,YUG,3
2022,m,65,UNKNOWN,11
2022,m,27,ISL,1
2022,m,51,UZB,124
2022,m,32,BGR,153
2022,f,41,GEO,388
2022,m,49,ISR,37
2022,f,12,PRT,6
2022,m,38,MDA,1001
2022,f,26,PRT,38
2022,m,27,ESP,248
2022,m,29,SWE,60
2022,m,20,IRQ,15
2022,f,19,SVK,10
2022,f,42,BLR,1249
2022,f,42,VNM,149
2022,m,36,CHN,408
2022,f,5,BLR,714
2022,m,46,BGD,59
2022,f,53,UNKNOWN,20
2022,f,41,SVK,74
2022,m,46,VNM,270
2022,m,105,HUN,1
2022,f,67,DEU,373
2022,f,50,MDA,357
2022,m,24,DNK,13
2022,f,64,NLD,12
2022,f,62,USA,31
2022,f,3,SVK,5
2022,m,18,GEO,207
2022,f,43,LBY,7
2022,m,35,FRA,232
2022,m,30,FRA,210
2022,f,34,ROU,130
2022,f,30,BLR,2324
2022,f,39,BLR,1576
2022,f,6,BLR,830
2022,m,4,BLR,707
2022,m,73,USA,44
2022,m,44,GEO,1407
2022,f,39,GEO,326
2022,f,39,TWN,20
2022,m,52,MDA,500
2022,m,62,DEU,745
2022,f,33,PRK,47
2022,f,56,RUS,230
2022,f,37,ESP,69
2022,m,48,IND,239
2022,m,22,IND,386
2022,m,68,ITA,135
2022,f,33,BLR,2187
2022,f,26,IND,297
2022,m,38,UNKNOWN,160
2022,m,30,ROU,297
2022,f,36,IND,329
2022,f,19,RUS,379
2022,f,83,UKR,744
2022,m,49,CHN,259
2022,m,18,KGZ,36
2022,m,26,TUR,1036
2022,m,42,GBR,266
2022,f,29,ROU,123
2022,f,49,MDA,371
2022,m,61,GEO,253
2022,f,64,VNM,67
2022,m,59,MDA,207
2022,m,39,EGY,146
2022,m,35,GEO,1663
2022,m,33,CZE,89
2022,m,54,KGZ,7
2022,m,56,KOR,111
2022,m,43,LVA,81
2022,m,25,PRT,79
2022,m,28,VNM,329
2022,f,51,LBY,4
2022,f,24,GBR,29
2022,m,70,NLD,68
2022,m,40,RUS,635
2022,m,41,VNM,295
2022,m,38,BEL,62
2022,m,28,UZB,314
2022,m,22,ZWE,219
2022,f,48,ROU,73
2022,m,63,SWE,69
2022,f,52,VNM,111
2022,m,0,BRA,10
2022,f,26,CHN,242
2022,m,37,MEX,51
2022,f,61,DEU,319
2022,m,10,TJK,3
2022,m,26,BGD,198
2022,f,41,LVA,35
2022,m,40,CHN,465
2022,f,33,MYS,28
2022,f,24,ZAF,9
2022,m,32,KOR,116
2022,f,28,IDN,90
2022,f,63,DEU,389
2022,m,26,GRC,45
2022,m,56,GEO,579
2022,f,41,KOR,102
2022,f,33,UNKNOWN,74
2022,m,49,CZE,113
2022,f,20,ZWE,250
2022,m,74,DEU,381
2022,f,15,BLR,525
2022,m,56,NLD,122
2022,m,9,CHN,50
2022,f,20,BLR,1850
2022,m,37,ARM,148
2022,f,55,CHN,52
2022,m,25,CUB,14
2022,f,29,HUN,57
2022,f,31,MDA,394
2022,f,60,RUS,199
2022,f,56,THA,31
2022,f,26,HUN,40
2022,f,22,BRA,13
2022,m,65,NLD,72
2022,f,16,SYR,8
2022,m,55,GBR,217
2022,m,23,GEO,1263
2022,m,49,RUS,495
2022,m,21,ESP,184
2022,f,54,BLR,598
2022,f,2,TUR,23
2022,m,55,ITA,235
2022,f,42,UNKNOWN,14
2022,m,49,IRL,55
2022,f,4,EGY,10
2022,m,36,RUS,791
2022,m,21,TUN,5
2022,m,18,DEU,72
2022,f,57,LTU,40
2022,m,40,DEU,653
2022,m,41,FRA,221
2022,m,25,AZE,381
2022,m,31,TUR,1166
2022,m,26,RUS,629
2022,m,27,DEU,197
2022,m,18,FRA,47
2022,m,23,MNG,11
2022,m,25,MDA,1123
2022,m,26,AZE,403
2022,f,40,ZWE,28
2022,f,19,KAZ,242
2022,m,44,AUT,55
2022,m,43,SVK,111
2022,m,51,SWE,76
2022,m,50,ARM,106
2022,m,19,GEO,500
2022,f,70,VNM,38
2022,m,45,FIN,25
2022,f,35,USA,123
2022,m,54,FRA,174
2022,f,25,BLR,2519
2022,f,59,CHN,80
2022,m,61,AZE,18
2022,f,76,ESP,4
2022,m,34,UZB,352
2022,m,68,TUR,24
2022,f,58,DEU,312
2022,m,33,MDA,1005
2022,f,31,COL,49
