year,type,group,sex,age,citizenship,count
2023,disability.pension,employees,m,35,COG,3
2023,disability.pension,employees,m,32,EGY,74
2023,disability.pension,employees,m,22,RWA,33
2023,disability.pension,employees,m,58,UKR,2508
2023,disability.pension,employees,m,27,IND,817
2023,disability.pension,employees,m,23,RWA,14
2023,disability.pension,employees,f,29,IND,166
2023,disability.pension,employees,f,22,BLR,948
2023,disability.pension,employees,f,20,UKR,4884
2023,disability.pension,employees,m,24,RUS,89
2023,disability.pension,employees,f,34,ETH,4
2023,disability.pension,employees,m,29,CUB,18
2023,disability.pension,employees,f,69,UKR,258
2023,disability.pension,employees,m,27,SYR,8
2023,disability.pension,employees,m,27,DZA,40
2023,disability.pension,employees,m,23,DZA,23
2023,disability.pension,employees,m,25,DZA,34
2023,disability.pension,employees,m,21,ETH,13
2023,disability.pension,employees,m,19,BDI,1
2023,disability.pension,employees,m,26,TUR,382
2023,disability.pension,employees,m,26,ETH,49
2023,disability.pension,employees,m,28,CUB,6
2023,disability.pension,employees,m,23,TUR,200
2023,disability.pension,employees,f,25,IDN,8
2023,disability.pension,employees,f,18,BLR,401
2023,disability.pension,employees,m,23,RWA,54
2023,disability.pension,employees,m,33,IND,832
2023,disability.pension,employees,m,24,CUB,7
2023,disability.pension,employees,m,27,CUB,7
2023,disability.pension,employees,f,26,CUB,7
2023,disability.pension,employees,f,29,ETH,11
2023,disability.pension,employees,m,19,DZA,2
2023,disability.pension,employees,f,30,CUB,12
2023,disability.pension,employees,m,27,EGY,79
2023,disability.pension,employees,m,22,ETH,2
2023,disability.pension,employees,m,19,EGY,3
2023,disability.pension,employees,m,25,TUR,313
2023,disability.pension,employees,f,54,UKR,1170
2023,disability.pension,employees,m,40,UKR,1674
2023,disability.pension,employees,m,35,GEO,592
2023,disability.pension,employees,m,27,GEO,669
2023,disability.pension,employees,m,38,UZB,259
2023,disability.pension,employees,m,31,UZB,243
2023,disability.pension,employees,m,24,UZB,111
2023,disability.pension,employees,m,22,UZB,103
2023,disability.pension,employees,m,32,UZB,217
2023,disability.pension,employees,m,41,UZB,228
2023,disability.pension,employees,f,55,LTU,10
2023,disability.pension,employees,f,64,BLR,10
2023,disability.pension,employees,f,26,BLR,1383
2023,disability.pension,employees,m,32,ARM,10
2023,disability.pension,employees,m,21,ARM,6
2023,disability.pension,employees,m,27,BLR,364
2023,disability.pension,employees,m,67,JOR,2
2023,disability.pension,employees,m,40,EGY,48
2023,disability.pension,employees,f,27,UKR,1990
2023,disability.pension,employees,f,15,UKR,570
2023,disability.pension,employees,m,53,UKR,720
2023,disability.pension,employees,m,46,ESP,3
2023,disability.pension,employees,f,56,CHN,11
2023,disability.pension,employees,m,16,UKR,1148
2023,disability.pension,employees,m,35,UZB,255
2023,disability.pension,employees,m,47,UZB,148
2023,disability.pension,employees,f,58,UKR,698
2023,disability.pension,employees,f,33,UKR,180
2023,disability.pension,employees,m,45,UKR,1180
2023,disability.pension,employees,m,46,UKR,1150
2023,disability.pension,employees,m,63,RUS,35
2023,disability.pension,employees,m,34,BLR,392
2023,disability.pension,employees,f,48,BLR,490
2023,disability.pension,employees,f,36,BLR,965
2023,disability.pension,employees,m,72,BLR,6
2023,disability.pension,employees,f,38,UKR,2120
2023,disability.pension,employees,m,39,BLR,294
2023,disability.pension,employees,m,44,SVK,28
2023,disability.pension,employees,m,61,UKR,330
2023,disability.pension,employees,f,25,BLR,1372
2023,disability.pension,employees,f,24,UKR,1192
2023,disability.pension,employees,m,39,UKR,6
2023,disability.pension,employees,m,42,UKR,1358
2023,disability.pension,employees,f,36,UKR,1982
2023,disability.pension,employees,f,17,UKR,1022
2023,disability.pension,employees,m,64,UKR,1053
2023,disability.pension,employees,m,67,UKR,366
2023,disability.pension,employees,m,54,RUS,85
2023,disability.pension,employees,m,49,BLR,144
2023,disability.pension,employees,m,48,BLR,198
2023,disability.pension,employees,m,47,RUS,134
2023,disability.pension,employees,m,42,HUN,20
2023,disability.pension,employees,f,48,BLR,84
2023,disability.pension,employees,m,53,BLR,140
2023,disability.pension,employees,m,35,PHL,16
2023,disability.pension,employees,m,52,UKR,774
2023,disability.pension,employees,m,25,MDA,329
2023,disability.pension,employees,m,52,GEO,413
2023,disability.pension,employees,m,53,GEO,381
2023,disability.pension,employees,m,54,BLR,88
2023,disability.pension,employees,f,46,UKR,2142
2023,disability.pension,employees,f,43,UKR,288
2023,disability.pension,employees,f,32,UKR,1668
2023,disability.pension,employees,f,56,RUS,6
2023,disability.pension,employees,f,63,UKR,236
2023,disability.pension,employees,m,30,RUS,167
2023,disability.pension,employees,m,69,BIH,1
2023,disability.pension,employees,f,20,ZWE,30
2023,disability.pension,employees,f,43,ZWE,6
2023,disability.pension,employees,f,34,ZWE,28
2023,disability.pension,employees,m,26,ZWE,76
2023,disability.pension,employees,f,26,ZWE,62
2023,disability.pension,employees,f,54,RUS,68
2023,disability.pension,employees,m,46,GEO,520
2023,disability.pension,employees,m,24,AZE,178
2023,disability.pension,employees,f,26,BLR,180
2023,disability.pension,employees,f,57,BLR,168
2023,disability.pension,employees,m,38,UKR,1606
2023,disability.pension,employees,m,49,LTU,28
2023,disability.pension,employees,m,53,BGR,25
2023,disability.pension,employees,m,48,UKR,1070
2023,disability.pension,employees,f,41,BLR,92
2023,disability.pension,employees,m,18,BLR,338
2023,disability.pension,employees,m,58,SYR,7
2023,disability.pension,employees,m,32,CUB,15
2023,disability.pension,employees,m,18,UKR,998
2023,disability.pension,employees,f,21,BLR,712
2023,disability.pension,employees,f,40,RUS,136
2023,disability.pension,employees,f,56,RUS,66
2023,disability.pension,employees,f,62,BLR,63
2023,disability.pension,employees,m,39,UZB,239
2023,disability.pension,employees,m,49,UZB,136
2023,disability.pension,employees,m,48,UZB,133
2023,disability.pension,employees,m,23,RUS,77
2023,disability.pension,employees,f,55,AZE,3
2023,disability.pension,employees,f,50,UKR,1698
2023,disability.pension,employees,f,31,UKR,222
2023,disability.pension,employees,f,34,UKR,261
2023,disability.pension,employees,f,62,ARM,16
2023,disability.pension,employees,m,41,MDA,285
2023,disability.pension,employees,m,35,MDA,322
2023,disability.pension,employees,m,39,MDA,299
2023,disability.pension,employees,m,30,MDA,346
2023,disability.pension,employees,m,26,MDA,316
2023,disability.pension,employees,m,28,MDA,316
2023,disability.pension,employees,m,62,BLR,32
2023,disability.pension,employees,m,58,IRN,2
2023,disability.pension,employees,f,51,LTU,14
2023,disability.pension,employees,m,57,GBR,43
2023,disability.pension,employees,f,51,RUS,85
2023,disability.pension,employees,m,43,BLR,39
2023,disability.pension,employees,m,70,USA,13
2023,disability.pension,employees,m,49,BRA,9
2023,disability.pension,employees,f,52,LTU,11
2023,disability.pension,employees,m,52,TUR,101
2023,disability.pension,employees,m,32,GEO,705
