country,sex,pesel
SUAZYJSKIE,f,14
SUAZYJSKIE,m,6
SUDAŃSKIE,f,60
SUDAŃSKIE,m,192
SURINAMSKIE,f,22
SURINAMSKIE,m,16
SYRYJSKIE,f,495
SYRYJSKIE,m,1425
SZWAJCARSKIE,m,939
SZWAJCARSKIE,f,303
SZWEDZKIE,f,3467
SZWEDZKIE,m,4561
SŁOWACKIE,f,2218
SŁOWACKIE,m,3668
SŁOWEŃSKIE,m,551
SŁOWEŃSKIE,f,253
TADŻYCKIE,f,473
TADŻYCKIE,m,5395
TAJLANDZKIE,f,1904
TAJLANDZKIE,m,1111
TANZAŃSKIE,f,352
TANZAŃSKIE,m,349
TOGIJSKIE,m,57
TOGIJSKIE,f,5
TONGIJSKIE,m,7
TONGIJSKIE,f,1
TRYNIDADZKO-TOBAGIJSKIE,f,33
TRYNIDADZKO-TOBAGIJSKIE,m,24
TUNEZYJSKIE,f,440
TUNEZYJSKIE,m,2206
TURECKIE,m,35153
TURECKIE,f,12753
TURKMEŃSKIE,m,5893
TURKMEŃSKIE,f,834
UGANDYJSKIE,f,322
UGANDYJSKIE,m,314
UKRAIŃSKIE,f,1460317
UKRAIŃSKIE,m,1135187
URUGWAJSKIE,f,42
URUGWAJSKIE,m,47
UZBECKIE,m,23007
UZBECKIE,f,1715
WANUACKIE,m,13
WANUACKIE,f,1
WATYKAŃSKIE,f,11
WATYKAŃSKIE,m,56
WENEZUELSKIE,m,894
WENEZUELSKIE,f,494
WIETNAMSKIE,f,8250
WIETNAMSKIE,m,15600
WSCHODNIOTIMORSKIE,f,1
WYBRZEŻA KOŚCI SŁONIOWEJ,f,29
WYBRZEŻA KOŚCI SŁONIOWEJ,m,87
WYSPY MINOR,f,2
WYSPY MINOR,m,3
WYSPY ŚWIĘTEGO TOMASZA I KSIĄŻĘCA,m,3
WYSPY ŚWIĘTEGO TOMASZA I KSIĄŻĘCA,f,4
WĘGIERSKIE,f,1778
WĘGIERSKIE,m,3384
WŁOSKIE,f,3785
WŁOSKIE,m,14902
ZAMBIJSKIE,m,100
ZAMBIJSKIE,f,98
ZIMBABWEJSKIE,m,4637
ZIMBABWEJSKIE,f,3785
ŁOTEWSKIE,f,1419
ŁOTEWSKIE,m,4257
ŚRODKOWOAFRYKAŃSKIE,f,3
ŚRODKOWOAFRYKAŃSKIE,m,9
,f,3
,m,5
