year,sex,country_code,prison,country,continent,wbd_region7,schengen
2020,m,EST,2,Estonia,Europe,Europe & Central Asia,Schengen
2020,m,FRA,2,France,Europe,Europe & Central Asia,Schengen
2020,m,GRC,1,Greece,Europe,Europe & Central Asia,Schengen
2020,m,GEO,103,Georgia,Asia,Europe & Central Asia,non-Schengen
2020,m,ESP,1,Spain,Europe,Europe & Central Asia,Schengen
2020,m,NLD,6,Netherlands,Europe,Europe & Central Asia,Schengen
2020,m,IND,11,India,Asia,South Asia,non-Schengen
2020,m,IRQ,3,Iraq,Asia,Middle East & North Africa,non-Schengen
2020,m,IRN,2,Iran,Asia,Middle East & North Africa,non-Schengen
2020,m,JOR,2,Jordan,Asia,Middle East & North Africa,non-Schengen
2020,m,CMR,3,Cameroon,Africa,Sub-Saharan Africa,non-Schengen
2020,m,CAN,1,Canada,Americas,North America,non-Schengen
2020,m,KAZ,4,Kazakhstan,Asia,Europe & Central Asia,non-Schengen
2020,m,KGZ,2,Kyrgyzstan,Asia,Europe & Central Asia,non-Schengen
2020,m,COL,4,Colombia,Americas,Latin America & Caribbean,non-Schengen
2020,m,XKX,1,KOSOVO,Europe,Europe & Central Asia,non-Schengen
2020,m,LBN,1,Lebanon,Asia,Middle East & North Africa,non-Schengen
2020,m,LTU,35,Lithuania,Europe,Europe & Central Asia,Schengen
2020,m,LVA,12,Latvia,Europe,Europe & Central Asia,Schengen
2020,m,MDA,41,Moldova,Europe,Europe & Central Asia,non-Schengen
2020,m,MNG,1,Mongolia,Asia,East Asia & Pacific,non-Schengen
2020,m,DEU,26,Germany,Europe,Europe & Central Asia,Schengen
2020,m,NGA,22,Nigeria,Africa,Sub-Saharan Africa,non-Schengen
2020,m,NOR,4,Norway,Europe,Europe & Central Asia,Schengen
2020,m,PAK,3,Pakistan,Asia,South Asia,non-Schengen
2020,m,PAN,1,Panama,Americas,Latin America & Caribbean,non-Schengen
2020,m,PRT,2,Portugal,Europe,Europe & Central Asia,Schengen
2020,m,BIH,1,Bosnia & Herzegovina,Europe,Europe & Central Asia,non-Schengen
2020,m,RUS,66,Russia,Europe,Europe & Central Asia,non-Schengen
2020,m,ROU,44,Romania,Europe,Europe & Central Asia,non-Schengen
2020,m,SRB,9,Serbia,Europe,Europe & Central Asia,non-Schengen
2020,m,SVK,10,Slovakia,Europe,Europe & Central Asia,Schengen
2020,m,SVN,2,Slovenia,Europe,Europe & Central Asia,Schengen
2020,m,USA,2,United States,Americas,North America,non-Schengen
2020,m,SYR,4,Syria,Asia,Middle East & North Africa,non-Schengen
2020,m,SWE,2,Sweden,Europe,Europe & Central Asia,Schengen
2020,m,TWN,1,Taiwan,Asia,East Asia & Pacific,non-Schengen
2020,m,TUR,5,Turkey,Asia,Europe & Central Asia,non-Schengen
2020,m,UKR,467,Ukraine,Europe,Europe & Central Asia,non-Schengen
2020,m,UZB,2,Uzbekistan,Asia,Europe & Central Asia,non-Schengen
2020,m,HUN,3,Hungary,Europe,Europe & Central Asia,Schengen
2020,m,GBR,5,United Kingdom,Europe,Europe & Central Asia,non-Schengen
2020,m,VNM,52,Vietnam,Asia,East Asia & Pacific,non-Schengen
2020,m,ITA,5,Italy,Europe,Europe & Central Asia,Schengen
2020,m,ZWE,1,Zimbabwe,Africa,Sub-Saharan Africa,non-Schengen
2020,m,XXX,27,Stateless,other/unknown,other/unknown,non-Schengen
2020,m,ALB,1,Albania,Europe,Europe & Central Asia,non-Schengen
2020,m,DZA,1,Algeria,Africa,Middle East & North Africa,non-Schengen
2020,m,SAU,1,Saudi Arabia,Asia,Middle East & North Africa,non-Schengen
2020,m,AUT,1,Austria,Europe,Europe & Central Asia,Schengen
2020,m,AZE,3,Azerbaijan,Asia,Europe & Central Asia,non-Schengen
2020,m,BEL,2,Belgium,Europe,Europe & Central Asia,Schengen
2020,m,DNK,1,Denmark,Europe,Europe & Central Asia,Schengen
2020,m,ISR,2,Israel,Asia,Middle East & North Africa,non-Schengen
2020,m,KOR,1,South Korea,Asia,East Asia & Pacific,non-Schengen
2020,m,CRI,1,Costa Rica,Americas,Latin America & Caribbean,non-Schengen
2020,m,LBY,2,Libya,Africa,Middle East & North Africa,non-Schengen
2020,m,MKD,1,North Macedonia,Europe,Europe & Central Asia,non-Schengen
2020,m,MAR,1,Morocco,Africa,Middle East & North Africa,non-Schengen
2020,m,NZL,1,New Zealand,Oceania,East Asia & Pacific,non-Schengen
2020,m,PSE,1,Palestinian Territories,Asia,Middle East & North Africa,non-Schengen
2020,m,TZA,1,Tanzania,Africa,Sub-Saharan Africa,non-Schengen
