year,sex,country_code,border,police_id_no,police_id_yes,police,prison,pop_insured,pop_register,country,country_code2,schengen
2022,m,FRA,,31,27,58,5,2261,9234,France,FRA,Schengen
2022,m,FRO,,1,0,1,,,,Faroe Islands,FRO,non-Schengen
2022,m,FSM,,,,,,,1,Micronesia (Federated States of),FSM,non-Schengen
2022,m,GAB,,0,1,1,,2,7,Gabon,GAB,non-Schengen
2022,m,GBR,2,59,26,85,5,2145,9409,United Kingdom,GBR,non-Schengen
2022,m,GEO,571,1323,1420,2743,282,26730,53989,Georgia,GEO,non-Schengen
2022,m,GHA,5,0,2,2,,178,395,Ghana,GHA,non-Schengen
2022,m,GIN,8,1,0,1,,38,97,Guinea,GIN,non-Schengen
2022,m,GMB,4,0,2,2,,27,117,Gambia,GMB,non-Schengen
2022,m,GNB,,1,0,1,,,8,Guinea-Bissau,GNB,non-Schengen
2022,m,GNQ,,,,,,,5,Equatorial Guinea,GNQ,non-Schengen
2022,m,GRC,,6,3,9,4,741,2428,Greece,GRC,Schengen
2022,m,GRD,,,,,,1,4,Grenada,GRD,non-Schengen
2022,m,GTM,2,1,1,2,,151,245,Guatemala,GTM,non-Schengen
2022,m,GUY,,,,,,3,8,Guyana,GUY,non-Schengen
2022,m,HKG,,,,,,,,Hong Kong SAR China,HKG,non-Schengen
2022,m,HND,,,,,,23,48,Honduras,HND,non-Schengen
2022,m,HRV,,6,1,7,,355,1060,Croatia,HRV,non-Schengen
2022,m,HTI,,,,,,11,25,Haiti,HTI,non-Schengen
2022,m,HUN,,13,3,16,2,825,2712,Hungary,HUN,Schengen
2022,m,IDN,2,0,2,2,,3737,5132,Indonesia,IDN,non-Schengen
2022,m,IND,66,22,107,129,14,14424,27262,India,IND,non-Schengen
2022,m,IOT,,,,,,,,British Indian Ocean Territory,IOT,non-Schengen
2022,m,IRL,,13,4,17,,413,1728,Ireland,IRL,non-Schengen
2022,m,IRN,4,8,5,13,4,572,1380,Iran,IRN,non-Schengen
2022,m,IRQ,15,15,8,23,2,311,1355,Iraq,IRQ,non-Schengen
2022,m,ISL,,1,0,1,,12,68,Iceland,ISL,Schengen
2022,m,ISR,1,8,0,8,3,291,1199,Israel,ISR,non-Schengen
2022,m,ITA,,46,33,79,2,4434,13439,Italy,ITA,Schengen
2022,m,JAM,,2,1,3,,15,37,Jamaica,JAM,non-Schengen
2022,m,JOR,4,1,9,10,1,280,748,Jordan,JOR,non-Schengen
2022,m,JPN,1,0,1,1,,316,2509,Japan,JPN,non-Schengen
2022,m,KAZ,16,10,17,27,9,1950,4732,Kazakhstan,KAZ,non-Schengen
2022,m,KEN,,0,4,4,,393,645,Kenya,KEN,non-Schengen
2022,m,KGZ,11,4,8,12,2,1269,2025,Kyrgyzstan,KGZ,non-Schengen
2022,m,KHM,,,,,,8,32,Cambodia,KHM,non-Schengen
2022,m,KIR,,,,,,,1,Kiribati,KIR,non-Schengen
2022,m,KNA,,,,,,,13,St. Kitts & Nevis,KNA,non-Schengen
2022,m,KOR,2,12,16,28,,535,6487,South Korea,KOR,non-Schengen
2022,m,KOSOVO,1,,,,,,982,KOSOVO,KOSOVO,non-Schengen
2022,m,KWT,,0,1,1,,13,61,Kuwait,KWT,non-Schengen
2022,m,LAO,,,,,,7,40,Laos,LAO,non-Schengen
2022,m,LBN,,0,4,4,1,309,854,Lebanon,LBN,non-Schengen
2022,m,LBR,,,,,,5,17,Liberia,LBR,non-Schengen
2022,m,LBY,4,2,3,5,1,74,453,Libya,LBY,non-Schengen
2022,m,LCA,,,,,,,3,St. Lucia,LCA,non-Schengen
2022,m,LIE,,,,,,,6,Liechtenstein,LIE,Schengen
2022,m,LKA,13,0,3,3,,263,482,Sri Lanka,LKA,non-Schengen
2022,m,LSO,,,,,,,6,Lesotho,LSO,non-Schengen
2022,m,LTU,,119,13,132,33,1072,3665,Lithuania,LTU,Schengen
2022,m,LUX,,,,,,12,81,Luxembourg,LUX,Schengen
2022,m,LVA,,70,51,121,13,551,2903,Latvia,LVA,Schengen
2022,m,MAC,,,,,,,,Macao SAR China,MAC,non-Schengen
2022,m,MAR,30,8,11,19,2,806,1652,Morocco,MAR,non-Schengen
2022,m,MCO,,,,,,,5,Monaco,MCO,non-Schengen
2022,m,MDA,173,193,346,539,74,11836,33498,Moldova,MDA,non-Schengen
2022,m,MDG,,,,,,24,33,Madagascar,MDG,non-Schengen
2022,m,MDV,,,,,,,6,Maldives,MDV,non-Schengen
2022,m,MEX,7,5,7,12,,654,1407,Mexico,MEX,non-Schengen
2022,m,MKD,2,1,2,3,,168,433,North Macedonia,MKD,non-Schengen
2022,m,MLI,2,1,1,2,,32,47,Mali,MLI,non-Schengen
2022,m,MLT,,,,,1,29,116,Malta,MLT,Schengen
2022,m,MMR,,,,,,12,43,Myanmar (Burma),MMR,non-Schengen
2022,m,MNE,,0,1,1,,,172,Montenegro,MNE,non-Schengen
2022,m,MNG,1,2,6,8,1,144,856,Mongolia,MNG,non-Schengen
2022,m,MOZ,,1,1,2,,24,80,Mozambique,MOZ,non-Schengen
2022,m,MRT,,,,,,11,14,Mauritania,MRT,non-Schengen
2022,m,MUS,4,,,,,40,95,Mauritius,MUS,non-Schengen
2022,m,MWI,,,,,,,19,Malawi,MWI,non-Schengen
2022,m,MYS,1,,,,,72,321,Malaysia,MYS,non-Schengen
2022,m,NAM,,,,,,3,27,Namibia,NAM,non-Schengen
2022,m,NER,,,,,,107,185,Niger,NER,non-Schengen
2022,m,NGA,23,10,26,36,14,1306,3029,Nigeria,NGA,non-Schengen
2022,m,NIC,,,,,,20,46,Nicaragua,NIC,non-Schengen
2022,m,NLD,,21,11,32,4,1027,5253,Netherlands,NLD,Schengen
2022,m,NOR,,18,2,20,2,111,1407,Norway,NOR,Schengen
2022,m,NPL,10,0,9,9,,2723,5808,Nepal,NPL,non-Schengen
2022,m,NZL,,,,,,38,177,New Zealand,NZL,non-Schengen
2022,m,OMN,,,,,,,29,Oman,OMN,non-Schengen
2022,m,PAK,29,10,15,25,10,973,3032,Pakistan,PAK,non-Schengen
2022,m,PAN,,,,,,22,40,Panama,PAN,non-Schengen
