year,period,same_year,country_code,border,country,continent,wbd_region7,schengen,sex,age
2014,2014_I,FALSE,UKR,5,Ukraine,Europe,Europe & Central Asia,non-Schengen,f,60
2014,2014_I,FALSE,UKR,346,Ukraine,Europe,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_I,FALSE,UKR,1,Ukraine,Europe,Europe & Central Asia,non-Schengen,m,60
2014,2014_I,FALSE,USA,1,United States,Americas,North America,non-Schengen,f,17
2014,2014_I,FALSE,USA,3,United States,Americas,North America,non-Schengen,m,18_59
2014,2014_I,FALSE,UZB,12,Uzbekistan,Asia,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_I,FALSE,VEN,1,Venezuela,Americas,Latin America & Caribbean,non-Schengen,m,18_59
2014,2014_I,FALSE,VNM,2,Vietnam,Asia,East Asia & Pacific,non-Schengen,f,17
2014,2014_I,FALSE,VNM,10,Vietnam,Asia,East Asia & Pacific,non-Schengen,f,18_59
2014,2014_I,FALSE,VNM,1,Vietnam,Asia,East Asia & Pacific,non-Schengen,f,60
2014,2014_I,FALSE,VNM,3,Vietnam,Asia,East Asia & Pacific,non-Schengen,m,17
2014,2014_I,FALSE,VNM,42,Vietnam,Asia,East Asia & Pacific,non-Schengen,m,18_59
2014,2014_I,FALSE,XXX,3,Stateless,other/unknown,other/unknown,non-Schengen,m,18_59
2014,2014_I,FALSE,ZAF,1,South Africa,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,TRUE,BGD,1,Bangladesh,Asia,South Asia,non-Schengen,m,18_59
2014,2014_I,TRUE,MAR,1,Morocco,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_I,TRUE,NGA,1,Nigeria,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,TRUE,PAK,3,Pakistan,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_I,TRUE,UKR,2,Ukraine,Europe,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_I,TRUE,UKR,5,Ukraine,Europe,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_I,TRUE,UZB,1,Uzbekistan,Asia,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_I,TRUE,VNM,1,Vietnam,Asia,East Asia & Pacific,non-Schengen,m,18_59
2014,2014_II,FALSE,AFG,1,Afghanistan,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,17
2014,2014_II,FALSE,AFG,4,Afghanistan,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_II,FALSE,AGO,1,Angola,Africa,Sub-Saharan Africa,non-Schengen,f,18_59
2014,2014_II,FALSE,AGO,2,Angola,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_II,FALSE,ALB,1,Albania,Europe,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,ARM,2,Armenia,Asia,Europe & Central Asia,non-Schengen,f,17
2014,2014_II,FALSE,ARM,6,Armenia,Asia,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_II,FALSE,ARM,4,Armenia,Asia,Europe & Central Asia,non-Schengen,f,60
2014,2014_II,FALSE,ARM,4,Armenia,Asia,Europe & Central Asia,non-Schengen,m,17
2014,2014_II,FALSE,ARM,23,Armenia,Asia,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,ARM,1,Armenia,Asia,Europe & Central Asia,non-Schengen,m,60
2014,2014_II,FALSE,AZE,3,Azerbaijan,Asia,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,BGD,8,Bangladesh,Asia,South Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,BLR,1,Belarus,Europe,Europe & Central Asia,non-Schengen,f,17
2014,2014_II,FALSE,BLR,7,Belarus,Europe,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_II,FALSE,BLR,1,Belarus,Europe,Europe & Central Asia,non-Schengen,f,60
2014,2014_II,FALSE,BLR,26,Belarus,Europe,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,CAN,1,Canada,Americas,North America,non-Schengen,m,18_59
2014,2014_II,FALSE,CHN,5,China,Asia,East Asia & Pacific,non-Schengen,f,18_59
2014,2014_II,FALSE,CHN,1,China,Asia,East Asia & Pacific,non-Schengen,m,17
2014,2014_II,FALSE,CHN,7,China,Asia,East Asia & Pacific,non-Schengen,m,18_59
2014,2014_II,FALSE,CIV,1,Côte d’Ivoire,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_II,FALSE,COL,1,Colombia,Americas,Latin America & Caribbean,non-Schengen,f,18_59
2014,2014_II,FALSE,COL,2,Colombia,Americas,Latin America & Caribbean,non-Schengen,m,18_59
2014,2014_II,FALSE,CRI,1,Costa Rica,Americas,Latin America & Caribbean,non-Schengen,f,18_59
2014,2014_II,FALSE,DJI,1,Djibouti,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_II,FALSE,DZA,1,Algeria,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,17
2014,2014_II,FALSE,DZA,5,Algeria,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_II,FALSE,EGY,5,Egypt,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_II,FALSE,ETH,1,Ethiopia,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_II,FALSE,GEO,8,Georgia,Asia,Europe & Central Asia,non-Schengen,f,17
2014,2014_II,FALSE,GEO,11,Georgia,Asia,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_II,FALSE,GEO,1,Georgia,Asia,Europe & Central Asia,non-Schengen,f,60
2014,2014_II,FALSE,GEO,6,Georgia,Asia,Europe & Central Asia,non-Schengen,m,17
2014,2014_II,FALSE,GEO,28,Georgia,Asia,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,GHA,3,Ghana,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_II,FALSE,GIN,1,Guinea,Africa,Sub-Saharan Africa,non-Schengen,f,18_59
2014,2014_II,FALSE,GIN,2,Guinea,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_II,FALSE,IND,7,India,Asia,South Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,IRN,2,Iran,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_II,FALSE,IRQ,1,Iraq,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_II,FALSE,KAZ,1,Kazakhstan,Asia,Europe & Central Asia,non-Schengen,f,17
2014,2014_II,FALSE,KAZ,1,Kazakhstan,Asia,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_II,FALSE,KAZ,1,Kazakhstan,Asia,Europe & Central Asia,non-Schengen,m,17
2014,2014_II,FALSE,KAZ,2,Kazakhstan,Asia,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,KEN,2,Kenya,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_II,FALSE,KGZ,1,Kyrgyzstan,Asia,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_II,FALSE,KGZ,3,Kyrgyzstan,Asia,Europe & Central Asia,non-Schengen,m,17
2014,2014_II,FALSE,KGZ,3,Kyrgyzstan,Asia,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,KOR,1,South Korea,Asia,East Asia & Pacific,non-Schengen,f,18_59
2014,2014_II,FALSE,KOR,1,South Korea,Asia,East Asia & Pacific,non-Schengen,m,18_59
2014,2014_II,FALSE,LBN,1,Lebanon,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_II,FALSE,LBR,1,Liberia,Africa,Sub-Saharan Africa,non-Schengen,f,18_59
2014,2014_II,FALSE,LBY,7,Libya,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,f,17
2014,2014_II,FALSE,LBY,11,Libya,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,f,18_59
2014,2014_II,FALSE,LBY,1,Libya,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,f,60
2014,2014_II,FALSE,LBY,9,Libya,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,17
2014,2014_II,FALSE,LBY,19,Libya,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_II,FALSE,LKA,1,Sri Lanka,Asia,South Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,MAR,2,Morocco,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_II,FALSE,MDA,1,Moldova,Europe,Europe & Central Asia,non-Schengen,f,17
2014,2014_II,FALSE,MDA,4,Moldova,Europe,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_II,FALSE,MDA,4,Moldova,Europe,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_II,FALSE,MNG,4,Mongolia,Asia,East Asia & Pacific,non-Schengen,f,18_59
2014,2014_II,FALSE,MNG,1,Mongolia,Asia,East Asia & Pacific,non-Schengen,m,17
2014,2014_II,FALSE,MNG,1,Mongolia,Asia,East Asia & Pacific,non-Schengen,m,18_59
2014,2014_II,FALSE,NGA,1,Nigeria,Africa,Sub-Saharan Africa,non-Schengen,f,18_59
