year,sex,country_code,country,border,police_id_no,police_id_yes,police,prison,pop_insured,pop_register,continent,wbd_region7,schengen,ukr,simplified_proc
2019,f,YEM,Yemen,1,0,0,0,0,0,23,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,ZAF,South Africa,0,0,0,0,0,67,104,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,ZMB,Zambia,0,0,0,0,0,10,20,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,ZWE,Zimbabwe,1,1,0,1,0,180,323,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,m,ABW,Aruba,0,0,0,0,0,0,0,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,AFG,Afghanistan,9,0,0,0,0,333,81,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,m,AGO,Angola,3,1,2,3,0,66,62,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,m,AIA,Anguilla,0,0,0,0,0,0,0,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,ALB,Albania,19,2,1,3,2,209,195,Europe,Europe & Central Asia,non-Schengen,0,0
2019,m,AND,Andorra,0,1,0,1,0,0,1,Europe,Europe & Central Asia,non-Schengen,0,0
2019,m,unknown/stateless,unknown/stateless,7,0,1,1,18,3153,5473,unknown/stateless,unknown/stateless,non-Schengen,0,0
2019,m,ARE,United Arab Emirates,1,1,0,1,0,0,5,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,m,ARG,Argentina,1,0,0,0,0,166,107,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,ARM,Armenia,19,32,119,151,40,1621,904,Asia,Europe & Central Asia,non-Schengen,0,1
2019,m,ASM,American Samoa,0,0,0,0,0,0,0,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,m,ATA,Antarctica,0,0,0,0,0,0,0,Antarctica,unknown/stateless,non-Schengen,0,0
2019,m,ATF,French Southern Territories,0,0,0,0,0,9,0,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,m,ATG,Antigua & Barbuda,0,1,0,1,0,0,0,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,AUS,Australia,4,6,2,8,1,130,137,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,m,AZE,Azerbaijan,30,19,15,34,3,983,1631,Asia,Europe & Central Asia,non-Schengen,0,0
2019,m,BDI,Burundi,0,0,0,0,0,0,5,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,m,BEN,Benin,1,2,0,2,0,0,6,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,m,BFA,Burkina Faso,0,0,0,0,0,0,6,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,m,BGD,Bangladesh,23,4,4,8,1,1607,1366,Asia,South Asia,non-Schengen,0,0
2019,m,BHR,Bahrain,1,0,0,0,0,0,9,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,m,BHS,Bahamas,0,0,0,0,0,0,3,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,BIH,Bosnia & Herzegovina,1,1,1,2,1,110,184,Europe,Europe & Central Asia,non-Schengen,0,0
2019,m,BLR,Belarus,137,395,117,512,69,31639,25708,Europe,Europe & Central Asia,non-Schengen,0,1
2019,m,BLZ,Belize,0,0,0,0,0,0,1,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,BOL,Bolivia,0,0,1,1,0,17,12,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,BRA,Brazil,17,3,3,6,1,823,729,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,BRB,Barbados,0,0,0,0,0,0,1,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,BRN,Brunei,0,0,0,0,0,0,0,Asia,East Asia & Pacific,non-Schengen,0,0
2019,m,BTN,Bhutan,0,0,0,0,0,0,1,Asia,South Asia,non-Schengen,0,0
2019,m,BWA,Botswana,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,m,CAF,Central African Republic,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,m,CAN,Canada,1,1,2,3,2,210,224,Americas,North America,non-Schengen,0,0
2019,m,CHL,Chile,2,2,0,2,0,71,60,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,m,CHN,China,35,21,34,55,10,2614,2530,Asia,East Asia & Pacific,non-Schengen,0,0
2019,m,CIV,Côte d’Ivoire,1,0,0,0,0,18,20,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,m,CMR,Cameroon,4,6,2,8,0,152,97,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,m,COD,Congo - Kinshasa,3,1,1,2,0,0,55,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,m,COG,Congo - Brazzaville,5,0,1,1,0,142,57,Africa,Sub-Saharan Africa,non-Schengen,0,0
