year,country_code,sex,zus,country,continent,wbd_region7,schengen
2016,MUS,f,10,Mauritius,Africa,Sub-Saharan Africa,non-Schengen
2016,MUS,m,19,Mauritius,Africa,Sub-Saharan Africa,non-Schengen
2016,MYS,f,14,Malaysia,Asia,East Asia & Pacific,non-Schengen
2016,MYS,m,17,Malaysia,Asia,East Asia & Pacific,non-Schengen
2016,NER,f,6,Niger,Africa,Sub-Saharan Africa,non-Schengen
2016,NER,m,35,Niger,Africa,Sub-Saharan Africa,non-Schengen
2016,NGA,f,34,Nigeria,Africa,Sub-Saharan Africa,non-Schengen
2016,NGA,m,268,Nigeria,Africa,Sub-Saharan Africa,non-Schengen
2016,NIC,f,3,Nicaragua,Americas,Latin America & Caribbean,non-Schengen
2016,NIC,m,8,Nicaragua,Americas,Latin America & Caribbean,non-Schengen
2016,NLD,f,106,Netherlands,Europe,Europe & Central Asia,Schengen
2016,NLD,m,892,Netherlands,Europe,Europe & Central Asia,Schengen
2016,NOR,f,25,Norway,Europe,Europe & Central Asia,Schengen
2016,NOR,m,100,Norway,Europe,Europe & Central Asia,Schengen
2016,NPL,f,91,Nepal,Asia,South Asia,non-Schengen
2016,NPL,m,527,Nepal,Asia,South Asia,non-Schengen
2016,NZL,f,12,New Zealand,Oceania,East Asia & Pacific,non-Schengen
2016,NZL,m,25,New Zealand,Oceania,East Asia & Pacific,non-Schengen
2016,PAK,f,44,Pakistan,Asia,South Asia,non-Schengen
2016,PAK,m,436,Pakistan,Asia,South Asia,non-Schengen
2016,PAN,f,7,Panama,Americas,Latin America & Caribbean,non-Schengen
2016,PAN,m,9,Panama,Americas,Latin America & Caribbean,non-Schengen
2016,PER,f,31,Peru,Americas,Latin America & Caribbean,non-Schengen
2016,PER,m,71,Peru,Americas,Latin America & Caribbean,non-Schengen
2016,PHL,f,182,Philippines,Asia,East Asia & Pacific,non-Schengen
2016,PHL,m,105,Philippines,Asia,East Asia & Pacific,non-Schengen
2016,PNG,m,1,Papua New Guinea,Oceania,East Asia & Pacific,non-Schengen
2016,PRT,f,142,Portugal,Europe,Europe & Central Asia,Schengen
2016,PRT,m,872,Portugal,Europe,Europe & Central Asia,Schengen
2016,PRY,f,5,Paraguay,Americas,Latin America & Caribbean,non-Schengen
2016,PRY,m,5,Paraguay,Americas,Latin America & Caribbean,non-Schengen
2016,PSE,f,2,Palestinian Territories,Asia,Middle East & North Africa,non-Schengen
2016,PSE,m,93,Palestinian Territories,Asia,Middle East & North Africa,non-Schengen
2016,ROU,f,1440,Romania,Europe,Europe & Central Asia,non-Schengen
2016,ROU,m,2303,Romania,Europe,Europe & Central Asia,non-Schengen
2016,RUS,f,2966,Russia,Europe,Europe & Central Asia,non-Schengen
2016,RUS,m,2721,Russia,Europe,Europe & Central Asia,non-Schengen
2016,RWA,f,8,Rwanda,Africa,Sub-Saharan Africa,non-Schengen
2016,RWA,m,14,Rwanda,Africa,Sub-Saharan Africa,non-Schengen
2016,SAU,f,3,Saudi Arabia,Asia,Middle East & North Africa,non-Schengen
2016,SAU,m,12,Saudi Arabia,Asia,Middle East & North Africa,non-Schengen
2016,SRB,f,108,Serbia,Europe,Europe & Central Asia,non-Schengen
2016,SRB,m,565,Serbia,Europe,Europe & Central Asia,non-Schengen
2016,SDN,f,4,Sudan,Africa,Sub-Saharan Africa,non-Schengen
2016,SDN,m,35,Sudan,Africa,Sub-Saharan Africa,non-Schengen
2016,SEN,f,6,Senegal,Africa,Sub-Saharan Africa,non-Schengen
2016,SEN,m,44,Senegal,Africa,Sub-Saharan Africa,non-Schengen
